epoch,train_loss,validation_loss
1.0,0.8565128706395626,0.6871843338012695
2.0,0.6312850378453732,0.5283443331718445
3.0,0.39276409428566694,0.17841807007789612
4.0,0.07995575829409063,0.04994520917534828
5.0,0.02739268448203802,0.021010855212807655
6.0,0.016684261441696435,0.01453558262437582
7.0,0.012365080590825528,0.010274400934576988
8.0,0.01015015022130683,0.008961736224591732
9.0,0.00882243603700772,0.007704770192503929
10.0,0.007551187358330935,0.0064702872186899185
11.0,0.00662409036885947,0.005991634447127581
12.0,0.005961412301985547,0.00513378856703639
13.0,0.005263325525447726,0.004614870063960552
14.0,0.004817734268726781,0.004219765774905682
15.0,0.0043863462342415005,0.0040960414335131645
16.0,0.004174283996690065,0.0036710246931761503
17.0,0.003965084019000642,0.0034968864638358355
18.0,0.0036862610722891986,0.0038183170836418867
19.0,0.0036592650576494634,0.0030819277744740248
20.0,0.0033432374038966373,0.0033194124698638916
21.0,0.003405323761398904,0.0030131516978144646
22.0,0.0032509730372112244,0.0026845012325793505
23.0,0.0030812015320407227,0.0028515756130218506
24.0,0.0030301753868116066,0.0027179361786693335
25.0,0.002870796583010815,0.002560363383963704
26.0,0.0028416471905075014,0.002486456884071231
27.0,0.0028972871223231778,0.0027771578170359135
28.0,0.0028429623343981802,0.0023737531155347824
29.0,0.002737253569648601,0.0024414737708866596
30.0,0.0026165629969909787,0.0023924417328089476
31.0,0.002660359881701879,0.0025091434363275766
32.0,0.0025534695596434176,0.0021730998996645212
33.0,0.00249812776746694,0.0022857377771288157
34.0,0.002489063481334597,0.0022352226078510284
35.0,0.0024603079800726846,0.0020880645606666803
36.0,0.0023600378772243857,0.002292473101988435
37.0,0.002437166913296096,0.0021615459118038416
38.0,0.002366573993640486,0.0020418944768607616
39.0,0.002340860817639623,0.0019704182632267475
40.0,0.002502637158613652,0.002077024430036545
41.0,0.0022896713053341955,0.0019580735825002193
42.0,0.002274418562592473,0.002051088958978653
43.0,0.0022526780812768266,0.0018882963340729475
44.0,0.0020818858174607158,0.0017502366099506617
45.0,0.0022052654167055152,0.001723880646750331
46.0,0.002171183303289581,0.0020793317817151546
47.0,0.002059240512608085,0.0017063624691218138
48.0,0.002020505504333414,0.001904933713376522
49.0,0.002076971941278316,0.001987909898161888
50.0,0.002045006156549789,0.0020875653717666864
51.0,0.002100395446177572,0.001753270160406828
52.0,0.0019285980524728075,0.0016659123357385397
53.0,0.0018499860088923015,0.0016237602103501558
54.0,0.0018075660409522243,0.0015786841977387667
55.0,0.0017984543883358128,0.0015494899125769734
56.0,0.0017818284322856925,0.0016394994454458356
57.0,0.0017746103185345419,0.001482227467931807
58.0,0.0016882367417565547,0.0016712775686755776
59.0,0.00171037764812354,0.0015247620176523924
60.0,0.0016836636859807186,0.0014329475816339254
